layer,layer_idx,kind,mse,snr_db
model.encoder.layers.0.self_attn.v_proj,0,v_proj,0.0014708489179611206,32.464633452212794
model.encoder.layers.0.self_attn.out_proj,0,out_proj,0.00023398856865242124,40.44836843449167
model.encoder.layers.0.fc2,0,fc2,6.528238736791536e-05,45.99236751772181
model.encoder.layers.0.fc1,0,fc1,4.708493725047447e-05,47.4114934665608
model.encoder.layers.11.fc2,11,fc2,4.444324804353528e-05,47.662273627392295
model.encoder.layers.11.fc1,11,fc1,3.4929187677334994e-05,48.708584057213
model.encoder.layers.5.self_attn.k_proj,5,k_proj,2.7298143322695978e-05,49.7789826658846
model.encoder.layers.10.fc1,10,fc1,2.530660822230857e-05,50.107991825822054
model.encoder.layers.10.fc2,10,fc2,1.314616747549735e-05,52.95232305655595
model.encoder.layers.6.fc2,6,fc2,1.3108327948430087e-05,52.96485494257543
model.encoder.layers.6.fc1,6,fc1,1.2297014109208249e-05,53.24280209800889
model.encoder.layers.1.self_attn.v_proj,1,v_proj,9.246246008842718e-06,54.48065974661321
model.encoder.layers.5.fc1,5,fc1,8.720046935195569e-06,54.73512961352099
model.encoder.layers.7.self_attn.v_proj,7,v_proj,8.621677807241213e-06,54.784420609171
model.encoder.layers.2.self_attn.v_proj,2,v_proj,8.107482244668063e-06,55.05146344325905
model.encoder.layers.11.self_attn.out_proj,11,out_proj,7.821597137080971e-06,55.20739265970364
model.encoder.layers.1.fc2,1,fc2,7.659560651518404e-06,55.29832570448277
model.encoder.layers.9.fc2,9,fc2,7.116020242392551e-06,55.61794478905825
model.encoder.layers.7.self_attn.out_proj,7,out_proj,7.011330126260873e-06,55.6826039640314
model.encoder.layers.3.self_attn.k_proj,3,k_proj,6.549852514581289e-06,55.97799945711447
model.encoder.layers.11.self_attn.v_proj,11,v_proj,6.46805165160913e-06,56.03265683007362
model.encoder.layers.11.self_attn.k_proj,11,k_proj,6.148175543785328e-06,56.25308149516215
model.encoder.layers.0.self_attn.q_proj,0,q_proj,6.117519205872668e-06,56.27456034700704
